BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,SPEED,THROTTLE_POS,class
101,89,1173,35,3.47,9,0.184,0
95.31741351,104.7025396,4793.486993,69.29570808,51.24776308,56.74860845,0.700598859,1
96.34046066,104.4444719,3649.884731,58.3582343,68.12643359,11.38372754,0.637215804,1
100,84,1582,82,26.92,44,0.369,0
99,85,1657,37,9.29,36,0.278,0
100,84,2378,51,21.59,51,0.337,0
100,83,1952,19,5.26,57,0.231,0
100,85,1970,30,5.79,40,0.263,0
96.00609981,106.0884159,4274.113988,20.54871859,63.9619993,18.15175421,0.829642283,1
100,83,1852,33,16.7,39,0.322,0
95.49265806,101.9785269,5416.307183,21.3759758,57.1557063,54.70841567,0.612566437,1
100,83,801,35,4.41,15,0.208,0
100,82,770,32,4.4,12,0.204,0
95.57697447,102.9505734,5273.422264,20.86436117,69.91090136,67.0854193,0.717417257,1
95.29771619,109.173671,4641.030346,56.37852603,55.5486384,33.30703297,0.720794854,1
96.86771675,101.0369771,4714.419749,37.66176942,66.89172384,19.259155,0.919550085,1
96.49999507,104.4678611,4448.257524,64.59677932,59.59896043,31.56277981,0.610496836,1
96.11490583,109.8962564,3565.196403,66.58616576,57.66038318,12.05468241,0.761498981,1
101,84,1309,35,10.83,14,0.294,0
97.02129011,103.9256598,5206.76381,50.28114382,53.06802813,68.68271058,0.918159301,1
100,85,1537,67,14.54,37,0.314,0
100,83,2434,30,21.49,49,0.333,0
97.64641763,106.2941863,5154.624311,67.42382929,63.30965286,41.87038674,0.643838309,1
100,84,835,33,3.48,36,0.196,0
100,83,1447,20,3.99,53,0.212,0
95.39507696,104.1305871,4811.116531,48.96165333,61.61463315,23.50579927,0.839125295,1
100,85,1466,55,14.53,44,0.314,0
96.03297364,103.7756125,5400.030009,31.66817517,52.0004823,52.1630676,0.644607533,1
100,83,1720,18,4.27,53,0.224,0
95.23922494,109.9476351,4131.58841,30.62277659,69.50486045,49.38419468,0.657094029,1
95.91313663,103.7496922,4556.172976,66.0061275,57.09690773,59.44244261,0.90203167,1
100,89,803,32,3.91,0,0.2,0
99,83,2326,20,32.59,41,0.373,0
96.50443431,108.2821348,3570.628814,34.993581,66.90065377,22.63042312,0.729714641,1
101,83,1553,20,4.14,56,0.216,0
100,93,793,30,4.59,2,0.2,0
101,90,800,30,4.01,21,0.2,0
101,88,1628,48,5.35,36,0.22,0
100,84,793,32,4.48,0,0.204,0
95.82238005,102.1650901,4809.105052,65.4723708,57.32897119,26.49061581,0.869857394,1
100,84,806,31,3.86,0,0.2,0
100,83,1491,33,11.03,53,0.294,0
100,82,2745,82,8.55,39,0.267,0
99,87,1258,31,3.83,24,0.192,0
95.88473719,102.5734837,5190.121843,24.90381074,52.55626456,57.83152592,0.860082607,1
100,92,2955,49,26.94,67,0.353,0
100,85,1822,75,4.87,67,0.224,0
